league,season,team_id,team,player_id,player_name,position,age,value_m
Eredivisie,2021,499,Vitesse Arnhem,216443,Riechedly Bazoer,Centre-Back,25,5.0
Eredivisie,2021,499,Vitesse Arnhem,387047,Danilho Doekhi,Centre-Back,24,4.0
Eredivisie,2021,499,Vitesse Arnhem,283233,Jacob Rasmussen,Centre-Back,25,3.0
Eredivisie,2021,499,Vitesse Arnhem,163847,Eli Dasa,Centre-Back,29,2.0
Eredivisie,2021,499,Vitesse Arnhem,353559,Dominik Oroz,Centre-Back,21,0.6
Eredivisie,2021,499,Vitesse Arnhem,181469,Tomas Hajek,Centre-Back,30,0.4
Eredivisie,2021,499,Vitesse Arnhem,196793,Maximilian Wittek,Left-Back,26,2.5
Eredivisie,2021,499,Vitesse Arnhem,536521,Romaric Yapi,Right-Back,21,0.2
Eredivisie,2021,499,Vitesse Arnhem,607164,Enzo Cornelisse,Defensive Midfield,20,0.4
Eredivisie,2021,499,Vitesse Arnhem,204047,Matus Bero,Central Midfield,26,2.5
Eredivisie,2021,499,Vitesse Arnhem,210348,Sondre Tronstad,Central Midfield,26,2.0
Eredivisie,2021,499,Vitesse Arnhem,344649,Toni Domgjoni,Central Midfield,23,1.5
Eredivisie,2021,499,Vitesse Arnhem,564448,Daan Huisman,Central Midfield,19,0.5
Eredivisie,2021,499,Vitesse Arnhem,433805,Patrick Vroegh,Central Midfield,22,0.4
Eredivisie,2021,499,Vitesse Arnhem,235540,Oussama Tannane,Attacking Midfield,28,0.6
Eredivisie,2021,499,Vitesse Arnhem,494283,Enrico Dueñas,Attacking Midfield,21,0.2
Eredivisie,2021,499,Vitesse Arnhem,463613,Yann Gboho,Left Winger,21,2.5
Eredivisie,2021,499,Vitesse Arnhem,747243,Gyan de Regt,Left Winger,18,0.1
Eredivisie,2021,499,Vitesse Arnhem,500762,Julian Von Moos,Right Winger,21,1.0
Eredivisie,2021,499,Vitesse Arnhem,564449,Million Manhoef,Right Winger,20,0.45
Eredivisie,2021,499,Vitesse Arnhem,477306,Hilary Gong,Right Winger,23,0.375
Eredivisie,2021,499,Vitesse Arnhem,368887,Loïs Openda,Centre-Forward,22,7.5
Eredivisie,2021,499,Vitesse Arnhem,400550,Nikolai Baden Frederiksen,Centre-Forward,22,3.5
Eredivisie,2021,499,Vitesse Arnhem,167342,Adrian Grbic,Centre-Forward,25,2.5
Eredivisie,2021,499,Vitesse Arnhem,357826,Thomas Buitink,Centre-Forward,22,1.3
Eredivisie,2021,499,Vitesse Arnhem,321182,Oussama Darfalou,Centre-Forward,28,0.7
