league,season,club,games,pts,gf,ga,xg,xga,xpts,est_share,season_len,partial,is_reserve,team_id,squad_value_m,pts_pg,xpts_pg,value_rank,xg_source,predicted_xpts_pg,predicted_xpts,club_skill,pts_vs_budget,luck,growth_m,growth_pct,n_matched,n_squad
Eerste Divisie,24/25,Roda JC,38,49,49.0,57.0,54.58891901968386,53.05281149155929,54.109682857239804,1.0,38,False,False,192,10.18,1.2894736842105263,1.4239390225589421,8.0,estimated,1.5180501691127948,57.6859064262862,-3.5762235690464013,-8.685906426286202,-5.1096828572398,-1.0749999999999997,-0.12250712250712247,26.0,33.0
Eerste Divisie,24/25,TOP Oss,38,38,31.0,61.0,36.32113197476433,62.66845653200442,36.06485005114353,1.0,38,False,False,1228,5.55,1.0,0.9490750013458824,20.0,estimated,1.1803960394558,44.8550494993204,-8.790199448176867,-6.8550494993203985,1.9351499488564685,0.24999999999999997,0.06802721088435373,19.0,28.0
Eerste Divisie,24/25,Telstar,38,61,69.0,47.0,59.60168028796312,44.25803333041568,62.25437541909419,1.0,38,False,False,1434,7.55,1.605263157894737,1.638273037344584,14.0,estimated,1.3516922742886373,51.36430642296821,10.890068996125976,9.635693577031788,-1.2543754190941865,1.75,0.47297297297297297,17.0,27.0
Eerste Divisie,24/25,VVV-Venlo,38,41,44.0,69.0,51.03683715683219,57.616566979533786,48.581980807249174,1.0,38,False,False,1426,8.13,1.0789473684210527,1.278473179138136,13.0,estimated,1.392888781071832,52.92977368072962,-4.347792873480445,-11.929773680729616,-7.58198080724917,-0.5499999999999999,-0.09565217391304347,23.0,37.0
Eerste Divisie,24/25,Vitesse,38,44,54.0,73.0,51.40082196632633,59.79931323551445,47.61666659636755,1.0,38,False,False,499,7.33,1.1578947368421053,1.2530701735886198,15.0,estimated,1.3352322048519984,50.73882378437594,-3.1221571880083876,-6.738823784375939,-3.6166665963675517,0.7249999999999999,0.18954248366013068,16.0,30.0
Eerste Divisie,24/25,Volendam,38,82,87.0,48.0,69.60950605334946,49.73255347193076,64.05117268356271,1.0,38,False,False,724,9.33,2.1578947368421053,1.6855571758832293,10.0,estimated,1.4695194273929186,55.84173824093091,8.209434442631805,26.158261759069095,17.94882731643729,1.6749999999999998,0.28270042194092826,20.0,33.0
Eerste Divisie,25/26,ADO Den Haag,38,89,90.0,37.0,74.43,37.99,74.01215379933856,0.0,38,False,False,1268,11.95,2.3421052631578947,1.9476882578773307,8.0,real,1.6072780895815468,61.07656740409878,12.935586395239786,27.923432595901218,14.987846200661432,2.1,0.29787234042553196,20.0,28.0
Eerste Divisie,25/26,Almere City,38,58,78.0,63.0,69.54,56.41,59.79459727801858,0.0,38,False,False,723,11.85,1.5263157894736843,1.5735420336320678,9.0,real,1.6026006750110224,60.89882565041885,-1.1042283724002764,-2.8988256504188494,-1.794597278018573,1.5250000000000004,0.21554770318021205,20.0,31.0
Eerste Divisie,25/26,Cambuur,38,78,75.0,48.0,65.22,48.54,61.19243885517051,0.0,38,False,False,133,13.55,2.0526315789473686,1.6103273382939607,6.0,real,1.677218950510857,63.734320119412565,-2.5418812642420603,14.26567988058744,16.8075611448295,0.9999999999999999,0.21052631578947367,15.0,28.0
Eerste Divisie,25/26,De Graafschap,38,63,74.0,58.0,79.26,60.22,62.40445531231401,0.0,38,False,False,642,10.93,1.6578947368421053,1.6422225082187898,10.0,real,1.557617442646565,59.18946282056947,3.2149924917445425,3.8105371794305323,0.5955446876859898,0.9750000000000001,0.23214285714285715,15.0,27.0
